Home,xG,Score,xG.1,Away
Cremonese,0.5,1–2,1.9,Juventus
Hellas Verona,0.4,1–2,1.1,Inter
Torino,0.9,2–2,1.5,Pisa
Fiorentina,1.4,0–1,1.2,Lecce
Parma,0.5,1–3,2.7,Bologna
Milan,3.3,1–0,1.8,Roma
Sassuolo,0.8,1–2,1.7,Genoa
Lazio,0.7,2–0,1.5,Cagliari
Pisa,0.9,1–0,1,Cremonese
Lecce,0.5,0–0,0.6,Hellas Verona
Como,1,0–0,0.6,Cagliari
Juventus,1.2,0–0,0.7,Torino
Parma,1.9,2–2,2.1,Milan
Atalanta,0.9,0–3,1.8,Sassuolo
Genoa,1.5,2–2,1.5,Fiorentina
Bologna,0.9,2–0,0.2,Napoli
Roma,1.5,2–0,1.1,Udinese
Inter,1.9,2–0,0.6,Lazio
Cagliari,0.8,3–3,1.4,Genoa
Udinese,1.5,0–3,2.3,Bologna
Fiorentina,0.6,1–1,1.5,Juventus
Napoli,1.6,3–1,0.8,Atalanta
Hellas Verona,0.6,1–2,1.4,Parma
Cremonese,0.9,1–3,1.9,Roma
Lazio,1.9,2–0,0.4,Lecce
Inter,1.9,0–1,1,Milan
Torino,1.5,1–5,2.7,Como
Sassuolo,1.8,2–2,1.5,Pisa
Como,1.8,2–0,1,Sassuolo
Parma,0.9,0–2,1.6,Udinese
Genoa,1.9,2–1,1.9,Hellas Verona
Juventus,1.7,2–1,0.5,Cagliari
Milan,1.4,1–0,0.7,Lazio
Lecce,1,2–1,1.7,Torino
Pisa,1.7,0–2,2,Inter
Atalanta,1.6,2–0,1.6,Fiorentina
Roma,0.5,0–1,1.2,Napoli
Bologna,2.7,1–3,2.1,Cremonese
Sassuolo,1,3–1,1.2,Fiorentina
Inter,1.6,4–0,1,Como
Hellas Verona,1,3–1,1.5,Atalanta
Cremonese,2.1,2–0,0.9,Lecce
Cagliari,1.8,1–0,0.3,Roma
Lazio,1.2,1–1,1.1,Bologna
Napoli,1.7,2–1,0.3,Juventus
Pisa,1.5,0–1,1.2,Parma
Udinese,1.2,1–2,1.6,Genoa
Torino,1,2–3,1.7,Milan
Lecce,2.2,1–0,0.3,Pisa
Torino,1,1–0,0.7,Cremonese
Parma,1.1,0–1,1.4,Lazio
Atalanta,2.5,2–1,0.8,Cagliari
Milan,1.4,2–2,1,Sassuolo
Udinese,1.3,1–0,1.3,Napoli
Fiorentina,1.6,1–2,0.9,Hellas Verona
Genoa,1,1–2,1.3,Inter
Bologna,0.5,0–1,1.6,Juventus
FC Bayern,1.7,6–0,0.5,RB Leipzig
Bayer Leverkusen,0.7,1–2,0.4,Hoffenheim
